#
# Optical constants of amorphous carbon ACH2
# from Zubko et al. (1996)
# extended to the hard X ray region by V.Z.
#
# wavelength         n - 1             k
#    um
#
3.30940537e-04  -2.71018444e-05  2.18517282e-07
3.32398582e-04  -2.73436619e-05  2.22494589e-07
3.33863051e-04  -2.75893630e-05  2.26454449e-07
3.35333972e-04  -2.78375033e-05  2.30520320e-07
3.36811374e-04  -2.80846902e-05  2.34726113e-07
3.38295285e-04  -2.83366833e-05  2.38913457e-07
3.39785733e-04  -2.85885182e-05  2.43168817e-07
3.41282748e-04  -2.88422791e-05  2.47617445e-07
3.42786359e-04  -2.90979587e-05  2.52046559e-07
3.44296594e-04  -2.93566807e-05  2.56500323e-07
3.45813483e-04  -2.96209476e-05  2.61203676e-07
3.47337054e-04  -2.98870658e-05  2.65886397e-07
3.48867339e-04  -3.01548221e-05  2.70548578e-07
