#
# Optical constants of organic refractory
# from Li & Greenberg (1997)
# extended to the hard X ray region by V.Z.
#
# wavelength         n - 1             k
#    um
#
1.88861794e-03  -7.82635000e-04  2.18051000e-04
1.91494350e-03  -8.00058000e-04  2.29124000e-04
1.94163673e-03  -8.17174000e-04  2.40657000e-04
1.96870372e-03  -8.34096000e-04  2.52631000e-04
1.99614438e-03  -8.50787000e-04  2.65092000e-04
2.02397139e-03  -8.67102000e-04  2.78121000e-04
2.05218484e-03  -8.82826000e-04  2.91785000e-04
2.08079135e-03  -8.97681000e-04  3.06119000e-04
2.10979427e-03  -9.11288000e-04  3.21157000e-04
2.13920421e-03  -9.22707000e-04  3.36949000e-04
2.16902496e-03  -9.30823000e-04  3.53544000e-04
2.19926024e-03  -9.33395000e-04  3.71006000e-04
2.22991371e-03  -9.24548000e-04  3.89324000e-04
2.26099721e-03  -8.41825000e-04  4.08525000e-04
2.29251493e-03  -6.92879000e-04  2.19675000e-04
2.32447107e-03  -9.57196000e-04  2.30563000e-04
2.35687423e-03  -1.01990000e-03  2.41991000e-04
2.38972888e-03  -1.06878000e-03  2.53986000e-04
2.42303947e-03  -1.11246000e-03  2.66576000e-04
2.45681526e-03  -1.15335000e-03  2.79790000e-04
2.49106107e-03  -1.19266000e-03  2.93660000e-04
2.52578683e-03  -1.23101000e-03  3.08217000e-04
2.56099246e-03  -1.26876000e-03  3.23474000e-04
2.59669363e-03  -1.30613000e-03  3.39333000e-04
2.63289045e-03  -1.34322000e-03  3.55961000e-04
2.66958820e-03  -1.38023000e-03  3.73403000e-04
2.70680397e-03  -1.41713000e-03  3.91700000e-04
2.74453194e-03  -1.45386000e-03  4.10895000e-04
2.78278996e-03  -1.49030000e-03  4.31032000e-04
2.82158450e-03  -1.52624000e-03  4.52156000e-04
2.86091549e-03  -1.56136000e-03  4.74316000e-04
2.90079582e-03  -1.59454000e-03  4.97564000e-04
2.94123221e-03  -1.62430000e-03  5.21951000e-04
2.98223152e-03  -1.64444000e-03  5.47533000e-04
3.02380071e-03  -1.58794000e-03  5.74370000e-04
3.06594688e-03  -1.71492000e-03  5.11347000e-04
3.10868504e-03  -1.78115000e-03  5.36644000e-04
3.15202324e-03  -1.83533000e-03  5.63190000e-04
3.19596148e-03  -1.88556000e-03  5.91049000e-04
3.24050752e-03  -1.93353000e-03  6.20269000e-04
3.28567799e-03  -1.97999000e-03  6.50310000e-04
3.33148176e-03  -2.02569000e-03  6.80772000e-04
3.37791878e-03  -2.07110000e-03  7.12054000e-04
3.42500710e-03  -2.11620000e-03  7.44777000e-04
3.47274670e-03  -2.16070000e-03  7.79007000e-04
3.52115672e-03  -2.20424000e-03  8.14811000e-04
3.57023719e-03  -2.24642000e-03  8.52263000e-04
3.62000846e-03  -2.28710000e-03  8.91437000e-04
3.67047067e-03  -2.32586000e-03  9.32418000e-04
3.72163434e-03  -2.36219000e-03  9.75287000e-04
3.77351035e-03  -2.39547000e-03  1.02013000e-03
3.82611000e-03  -2.42488000e-03  1.06703000e-03
3.87944503e-03  -2.44933000e-03  1.11609000e-03
3.93351520e-03  -2.46613000e-03  1.16742000e-03
3.98834497e-03  -2.47386000e-03  1.22107000e-03
4.04394760e-03  -2.46931000e-03  1.27714000e-03
4.10030979e-03  -2.44734000e-03  1.33578000e-03
4.15747156e-03  -2.39924000e-03  1.39711000e-03
4.21543361e-03  -2.30822000e-03  1.46125000e-03
4.27418105e-03  -2.13726000e-03  1.52835000e-03
4.33377200e-03  -1.67227000e-03  1.59852000e-03
4.39417696e-03  -1.18338000e-03  1.83453000e-04
4.45542600e-03  -2.14366000e-03  1.93261000e-04
4.51753524e-03  -2.48037000e-03  2.03573000e-04
4.58050472e-03  -2.71475000e-03  2.14414000e-04
4.64435084e-03  -2.91059000e-03  2.25822000e-04
4.70909084e-03  -3.08682000e-03  2.37843000e-04
4.77474290e-03  -3.25083000e-03  2.50513000e-04
4.84128841e-03  -3.40801000e-03  2.63866000e-04
4.90878322e-03  -3.56205000e-03  2.77939000e-04
4.97720867e-03  -3.71427000e-03  2.92772000e-04
5.04658385e-03  -3.86575000e-03  3.08043000e-04
5.11692894e-03  -4.01777000e-03  3.23573000e-04
5.18826528e-03  -4.17172000e-03  3.39824000e-04
5.26059322e-03  -4.32758000e-03  3.57686000e-04
5.33391191e-03  -4.48453000e-03  3.76735000e-04
5.40826639e-03  -4.64395000e-03  3.96810000e-04
5.48365724e-03  -4.80616000e-03  4.17955000e-04
5.56008384e-03  -4.97142000e-03  4.40228000e-04
5.63759547e-03  -5.14001000e-03  4.63748000e-04
5.71619319e-03  -5.31216000e-03  4.88668000e-04
5.79584977e-03  -5.48786000e-03  5.15019000e-04
5.87664489e-03  -5.66706000e-03  5.42787000e-04
5.95858031e-03  -5.85025000e-03  5.72060000e-04
6.04162713e-03  -6.03760000e-03  6.02909000e-04
6.12584252e-03  -6.22924000e-03  6.35422000e-04
6.21122674e-03  -6.42529000e-03  6.69693000e-04
6.29781060e-03  -6.62586000e-03  7.05812000e-04
6.38559422e-03  -6.83101000e-03  7.43879000e-04
6.47461004e-03  -7.04056000e-03  7.83998000e-04
6.56485805e-03  -7.25449000e-03  8.26291000e-04
6.65637248e-03  -7.47248000e-03  8.70833000e-04
6.74915330e-03  -7.69431000e-03  9.16687000e-04
6.84323669e-03  -7.92012000e-03  9.62378000e-04
6.93862267e-03  -8.15143000e-03  1.00732000e-03
7.03534959e-03  -8.39104000e-03  1.05290000e-03
7.13341761e-03  -8.63797000e-03  1.10055000e-03
7.23286745e-03  -8.89189000e-03  1.15036000e-03
7.33369958e-03  -9.15286000e-03  1.20243000e-03
7.43591279e-03  -9.42101000e-03  1.25686000e-03
7.53955000e-03  -9.69644000e-03  1.31376000e-03
7.64465736e-03  -9.97928000e-03  1.37316000e-03
7.75123620e-03  -1.02697000e-02  1.43509000e-03
7.85928618e-03  -1.05682000e-02  1.49966000e-03
7.96880516e-03  -1.08747000e-02  1.56709000e-03
8.07989431e-03  -1.11895000e-02  1.63754000e-03
8.19255642e-03  -1.15130000e-02  1.71118000e-03
8.30673705e-03  -1.18451000e-02  1.78814000e-03
8.42254515e-03  -1.21863000e-02  1.86855000e-03
8.53992406e-03  -1.25367000e-02  1.95259000e-03
8.65898994e-03  -1.28965000e-02  2.04043000e-03
8.77968403e-03  -1.32659000e-02  2.13220000e-03
8.90206651e-03  -1.36452000e-02  2.22812000e-03
9.02613690e-03  -1.40347000e-02  2.32836000e-03
9.15196013e-03  -1.44348000e-02  2.43312000e-03
9.27953718e-03  -1.48455000e-02  2.54324000e-03
9.40886700e-03  -1.52665000e-02  2.65890000e-03
9.54001967e-03  -1.56980000e-02  2.77837000e-03
9.67307123e-03  -1.61413000e-02  2.90306000e-03
9.80787158e-03  -1.65964000e-02  3.03334000e-03
9.94456994e-03  -1.70634000e-02  3.16944000e-03
1.00000000e-02  -1.62130000e-02  2.21252000e-03
1.01346000e-02  -1.65950000e-02  1.95866000e-03
1.02710000e-02  -1.69820000e-02  1.73784000e-03
1.04092000e-02  -1.74570000e-02  1.54888000e-03
1.05493000e-02  -1.79900000e-02  1.38985000e-03
1.06913000e-02  -1.85660000e-02  1.25845000e-03
1.08352000e-02  -1.91790000e-02  1.15239000e-03
1.09810000e-02  -1.98210000e-02  1.06966000e-03
1.11288000e-02  -2.04880000e-02  1.00833000e-03
1.12786000e-02  -2.11770000e-02  9.65313000e-04
1.14304000e-02  -2.18870000e-02  9.37831000e-04
1.15842000e-02  -2.26170000e-02  9.23962000e-04
1.17401000e-02  -2.33680000e-02  9.22444000e-04
1.18981000e-02  -2.41400000e-02  9.32533000e-04
1.20582000e-02  -2.49320000e-02  9.53904000e-04
1.22205000e-02  -2.57440000e-02  9.86003000e-04
1.23850000e-02  -2.65760000e-02  1.02761000e-03
1.25517000e-02  -2.74280000e-02  1.07739000e-03
1.27206000e-02  -2.83000000e-02  1.13376000e-03
1.28918000e-02  -2.91930000e-02  1.19479000e-03
1.30653000e-02  -3.01090000e-02  1.25808000e-03
1.32411000e-02  -3.10510000e-02  1.32220000e-03
1.34193000e-02  -3.20230000e-02  1.38758000e-03
1.35999000e-02  -3.30260000e-02  1.45498000e-03
1.37830000e-02  -3.40640000e-02  1.52528000e-03
1.39685000e-02  -3.51370000e-02  1.59955000e-03
1.41565000e-02  -3.62470000e-02  1.67891000e-03
1.43470000e-02  -3.73960000e-02  1.76385000e-03
